,Genus_species,Class,Order,Family,Genus,epithet,Species,Notes,Level_of_identification,Original_names_1,Original_names_2,Original_names_3
30,Aztecatopse_sp_nov,Insecta,Diptera,Scatopsidae,Aztecatopse,NA,Aztecatopse,NA,Genus,Aztecatopse sp.nov.,NA,NA
31,Badumna_longiqua,Arachnida,Araneae,Desidae,Badumna,longiqua,Badumna longiqua,NA,Species,Badumna longiqua,NA,NA
32,"Beckerina_""brown""_sp_2",Insecta,Diptera,Phoridae,Beckerina,sp1,Beckerina sp1,NA,Morphospecies,Beckerina  brown (sp2),NA,NA
33,"Beckerina_""yellow""_sp_1",Insecta,Diptera,Phoridae,Beckerina,sp2,Beckerina sp2,NA,Morphospecies,Beckerina yellow (sp1),NA,NA
34,Beckerina_sp_1,Insecta,Diptera,Phoridae,Beckerina,sp1,Beckerina sp1,NA,Morphospecies,Beckerina sp. 1,NA,NA
35,Beckerina_sp_2,Insecta,Diptera,Phoridae,Beckerina,sp2,Beckerina sp2,NA,Morphospecies,Beckerina sp. 2,NA,NA
36,"Boletina_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Boletina,sp1,Boletina sp1,NA,Morphospecies,Boletina BioSCAN sp. 1,NA,NA
37,"Bolineura_""BioSCAN""_sp_1",NA,NA,NA,NA,NA,NA,NA,NA,Bolineura BioSCAN sp. 1,NA,NA
38,Brephidium_exile,Insecta,Lepidoptera,Lycaenidae,Brephidium,exile,Brephidium exile,NA,Species,Brephidium exile,NA,NA
39,Calliopsis_sp,Insecta,Hymenoptera,Andrenidae,Calliopsis,NA,Calliopsis,NA,Genus,Calliopsis sp.,NA,NA
40,Castianeira_athena,Arachnida,Araneae,Corinnidae,Castianeira,athena,Castianeira athena,NA,Species,Castianeira athena,NA,NA
41,Castianeira_sp,Arachnida,Araneae,Corinnidae,Castianeira,NA,Castianeira,NA,Genus,Castianeira sp.,NA,NA
42,Ceratina_sp,Insecta,Hymenoptera,Apidae,Ceratina,NA,Ceratina,NA,Genus,Ceratina sp.,NA,NA
43,Cheiracanthium_mildei,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,mildei,Cheiracanthium mildei,NA,Species,Cheiracanthium mildei,NA,NA
44,Cheiracanthium_sp,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,NA,Cheiracanthium,NA,Genus,Cheiracanthium,NA,NA
45,Chelostoma_sp,Insecta,Hymenoptera,Megachilidae,Chelostoma,NA,Chelostoma,NA,Genus,Chelostoma sp.,NA,NA
46,Chonocephalus_bentacaisei,Insecta,Diptera,Phoridae,Chonocephalus,bentacaisei,Chonocephalus bentacaisei,NA,Species,Chonocephalus bentacaisei,NA,NA
47,Chrysotoxum_sp,Insecta,Diptera,Syrphidae,Chrysotoxum,NA,Chrysotoxum,NA,Genus,Chrysotoxum sp.,NA,NA
48,Chymomyza_amoena,Insecta,Diptera,Drosophilidae,Chymomyza,amoena,Chymomyza amoena,NA,Species,Chymomyza amoena,NA,NA
49,Cladochaeta_sp,Insecta,Diptera,Drosophilidae,Cladochaeta,NA,Cladochaeta,NA,Genus,Cladochaeta sp.,NA,NA
50,Cladochaeta_sturtevanti,Insecta,Diptera,Drosophilidae,Cladochaeta,sturtevanti,Cladochaeta sturtevanti,NA,Species,Cladochaeta sturtevanti,NA,NA
51,Clubiona_abbotti,Arachnida,Araneae,Clubionidae,Clubiona,abbotti,Clubiona abbotti,NA,Species,Clubiona abbotti abbotti,NA,NA
52,Clubiona_pomoa,Arachnida,Araneae,Clubionidae,Clubiona,pomoa,Clubiona pomoa,NA,Species,Clubiona pomoa,NA,NA
53,Clubionidae,Arachnida,Araneae,Clubionidae,NA,NA,NA,NA,Family,Clubionidae,NA,NA
54,Coboldia_fuscipes,Insecta,Diptera,Scatopsidae,Coboldia,fuscipes,Coboldia fuscipes,NA,Species,Coboldia fuscipes,NA,NA
55,Coelioxys_sp,Insecta,Hymenoptera,Megachilidae,Coelioxys,NA,Coelioxys,NA,Genus,Coelioxys sp.,NA,NA
56,"Coelosia_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Coelosia,sp1,Coelosia sp1,NA,Morphospecies,Coelosia BioSCAN sp. 1,NA,NA
57,Coelosia_sp,Insecta,Diptera,Mycetophilidae,Coelosia,NA,Coelosia,NA,Genus,Coelosia sp.,NA,NA
58,Colias_eurytheme,Insecta,Lepidoptera,Pieridae,Colias,eurytheme,Colias eurytheme,NA,Species,Colias eurytheme,NA,NA
59,Colletes_sp,Insecta,Hymenoptera,Colletidae,Colletes,NA,Colletes,NA,Genus,Colletes sp.,NA,NA
60,Conanthalictus_sp,Insecta,Hymenoptera,Halictidae,Conanthalictus,NA,Conanthalictus,NA,Genus,Conanthalictus,NA,NA
61,Conicera_aldrichi,Insecta,Diptera,Phoridae,Conicera,aldrichi,Conicera aldrichi,NA,Species,Conicera aldrichi,NA,NA
62,Conicera_similis,Insecta,Diptera,Phoridae,Conicera,similis,Conicera similis,NA,Species,Conicera similis,NA,NA
63,Conicera_tibialis,Insecta,Diptera,Phoridae,Conicera,tibialis,Conicera tibialis,NA,Species,Conicera tibialis,Conicera tibialis (verified),NA
64,Copestylum_apiciferum,Insecta,Diptera,Syrphidae,Copestylum,apiciferum,Copestylum apiciferum,NA,Species,Copestylum apiciferum,NA,NA
65,Copestylum_fraudulentum,Insecta,Diptera,Syrphidae,Copestylum,fraudulentum,Copestylum fraudulentum,NA,Species,Copestylum fraudulentum,NA,NA
66,Copestylum_haagi,Insecta,Diptera,Syrphidae,Copestylum,haagi,Copestylum haagi,NA,Species,Copestylum haagi,NA,NA
67,Copestylum_marginatum,Insecta,Diptera,Syrphidae,Copestylum,marginatum,Copestylum marginatum,NA,Species,Copestylum marginatum,NA,NA
68,Copestylum_mexicanum,Insecta,Diptera,Syrphidae,Copestylum,mexicanum,Copestylum mexicanum,NA,Species,Copestylum mexicanum,NA,NA
69,Copestylum_satur,Insecta,Diptera,Syrphidae,Copestylum,satur,Copestylum satur,NA,Species,Copestylum satur,NA,NA
70,"Cordyla_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Cordyla,sp1,Cordyla sp1,NA,Morphospecies,Cordyla BioSCAN sp. 1,NA,NA
71,"Cordyla_""BioSCAN""_sp_2",Insecta,Diptera,Mycetophilidae,Cordyla,sp2,Cordyla sp2,NA,Morphospecies,Cordyla BioSCAN sp. 2,NA,NA
72,"Cordyla_""BioSCAN""_sp_3",Insecta,Diptera,Mycetophilidae,Cordyla,sp3,Cordyla sp3,NA,Morphospecies,Cordyla BioSCAN sp. 3,NA,NA
73,"Cordyla_""BioSCAN""_sp_4",Insecta,Diptera,Mycetophilidae,Cordyla,sp4,Cordyla sp4,NA,Morphospecies,Cordyla BioSCAN sp. 4,NA,NA
74,Cordyla_sp,Insecta,Diptera,Mycetophilidae,Cordyla,NA,Cordyla,NA,Genus,Cordyla sp.,NA,NA
75,Corinnidae,Arachnida,Araneae,Corinnidae,NA,NA,NA,NA,Family,Corinnidae,NA,NA
76,Cyclosa_turbinata,Arachnida,Araneae,Araneidae,Cyclosa,turbinata,Cyclosa turbinata,NA,Species,Cyclosa turbinata,NA,NA
77,Danaus_plexippus,Insecta,Lepidoptera,Nymphalidae,Danaus,plexippus,Danaus plexippus,NA,Species,Danaus plexippus,NA,NA
78,Diadasia_sp,Insecta,Hymenoptera,Apidae,Diadasia,NA,Diadasia,NA,Genus,Diadasia sp.,NA,NA
79,Dichorda_illustraria,Insecta,Lepidoptera,Geometridae,Dichorda,illustraria,Dichorda illustraria,NA,Species,Dichorda illustraria,NA,NA
80,Dicranoptycha_occideantalis,Insecta,Diptera,Limoniidae,Dicranoptycha,occideantalis,Dicranoptycha occideantalis,NA,Species,Dicranoptycha occideantalis,NA,NA
81,Dictyna_abundans,Arachnida,Araneae,Dictynidae,Dictyna,abundans,Dictyna abundans,NA,Species,Dictyna abundans,NA,NA
82,Dictyna_agressa,Arachnida,Araneae,Dictynidae,Dictyna,agressa,Dictyna agressa,NA,Species,Dictyna agressa,NA,NA
83,Dictyna_calcarata,Arachnida,Araneae,Dictynidae,Dictyna,calcarata,Dictyna calcarata,NA,Species,Dictyna calcarata,NA,NA
84,Dictynidae,Arachnida,Araneae,Dictynidae,NA,NA,NA,NA,Family,Dictynidae,NA,NA
85,Dioprosopa_clavata,Insecta,Diptera,Syrphidae,Dioprosopa,clavata,Dioprosopa clavata,NA,Species,Dioprosopa clavata,NA,NA
86,Diplonevra_setigera,Insecta,Diptera,Phoridae,Diplonevra,setigera,Diplonevra setigera,NA,Species,Diplonevra setigera,NA,NA
87,Diplonevra_sp,Insecta,Diptera,Phoridae,Diplonevra,NA,Diplonevra,NA,Genus,Diplonevra,NA,NA
88,"Docosia_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Docosia,sp1,Docosia sp1,NA,Morphospecies,Docosia BioSCAN sp. 1,NA,NA
89,"Docosia_""BioSCAN""_sp_3",Insecta,Diptera,Mycetophilidae,Docosia,sp3,Docosia sp3,NA,Morphospecies,Docosia BioSCAN sp. 3,NA,NA
90,Docosia_sp,Insecta,Diptera,Mycetophilidae,Docosia,NA,Docosia,NA,Genus,Docosia sp.,NA,NA
91,Dohrniphora_cornuta,Insecta,Diptera,Phoridae,Dohrniphora,cornuta,Dohrniphora cornuta,NA,Species,Dohrniphora cornuta,NA,NA
92,Doufourea_sp,Insecta,Hymenoptera,Halictidae,Doufourea,NA,Doufourea,NA,Genus,Doufourea sp.,NA,NA
93,Drosophila_?tranversa,Insecta,Diptera,Drosophilidae,Drosophila,NA,Drosophila,NA,Genus,Drosophila tranversa (?),NA,NA
94,Drosophila_azteca,Insecta,Diptera,Drosophilidae,Drosophila,azteca,Drosophila azteca,NA,Species,Drosophila azteca,NA,NA
95,Drosophila_busckii,Insecta,Diptera,Drosophilidae,Drosophila,busckii,Drosophila busckii,NA,Species,Drosophila busckii,NA,NA
96,Drosophila_flavohirta,Insecta,Diptera,Drosophilidae,Drosophila,flavohirta,Drosophila flavohirta,NA,Species,Drosophila flavohirta,NA,NA
97,Drosophila_gentica,Insecta,Diptera,Drosophilidae,Drosophila,gentica,Drosophila gentica,NA,Species,Drosophila gentica,NA,NA
98,Drosophila_immigrans,Insecta,Diptera,Drosophilidae,Drosophila,immigrans,Drosophila immigrans,NA,Species,Drosophila immigrans,NA,NA
99,Drosophila_melanogaster,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,NA,Species,Drosophila melanogaster,Drosophila melanogaster- male,NA
100,Drosophila_melanogaster_group,Insecta,Diptera,Drosophilidae,Drosophila,NA,Drosophila,NA,Genus,Drosophila mel/sim female,NA,NA
101,Drosophila_obscura_group,Insecta,Diptera,Drosophilidae,Drosophila,NA,Drosophila,NA,Genus,Drosophila obscura group,NA,NA
102,Drosophila_occidentalis,Insecta,Diptera,Drosophilidae,Drosophila,occidentalis,Drosophila occidentalis,NA,Species,Drosophila occidentalis,NA,NA
103,Drosophila_pseudoobscura,Insecta,Diptera,Drosophilidae,Drosophila,pseudoobscura,Drosophila pseudoobscura,NA,Species,Drosophila pseudoobscura,NA,NA
104,Drosophila_repleta_group,Insecta,Diptera,Drosophilidae,Drosophila,NA,Drosophila,NA,Genus,Drosophila repleta group,Repleta group,NA
105,Drosophila_simulans,Insecta,Diptera,Drosophilidae,Drosophila,simulans,Drosophila simulans,NA,Species,Drosophila simulans,Drosophila simulans-male,NA
106,Drosophila_suzukii,Insecta,Diptera,Drosophilidae,Drosophila,suzukii,Drosophila suzukii,NA,Species,Drosophila suzukii,NA,NA
107,Drosophilidae,Insecta,Diptera,Drosophilidae,NA,NA,NA,NA,Family,Unknown Drosophilid,NA,NA
108,Drosphila_sp,Insecta,Diptera,Drosophilidae,Drosophila,NA,Drosophila,NA,Genus,Unknown Drosophila,NA,NA
109,Dysdera_crocata,Arachnida,Araneae,Dysderidae,Dysdera,crocata,Dysdera crocata,NA,Species,Dysdera crocata,NA,NA
110,Epicypta_sp,Insecta,Diptera,Mycetophilidae,Epicypta,NA,Epicypta,NA,Genus,Epicypta,NA,NA
111,Erigone_dentosa,Arachnida,Araneae,Linyphiidae,Erigone,dentosa,Erigone dentosa,NA,Species,Erigone dentosa,NA,NA
112,Eriophora_edax,Arachnida,Diptera,Limoniidae,Eriophora,edax,Eriophora edax,NA,Species,Eriophora edax,NA,NA
113,Erioptera_(Mesocyphona)_distincta,Arachnida,Diptera,Limoniidae,Erioptera,distincta,Erioptera distincta,NA,Species,Erioptera (Mesocyphona) distincta,NA,NA
114,Erioptera_(Mesocyphona)_sp,Arachnida,Diptera,Limoniidae,Erioptera,NA,Erioptera,NA,Genus,Erioptera (Mesocyphona),NA,NA
115,Erioptera_(Trimicra)_pilipes,Arachnida,Diptera,Limoniidae,Erioptera,pilipes,Erioptera pilipes,NA,Species,Erioptera (Trimicera) pilipes,Erioptera (Trimicra) pilipes,NA
116,Erioptera_caliptera,Arachnida,Diptera,Limoniidae,Erioptera,caliptera,Erioptera caliptera,NA,Species,Erioptera caliptera caliptera,NA,NA
117,Erioptera_cana,Arachnida,Diptera,Limoniidae,Erioptera,cana,Erioptera cana,NA,Species,Erioptera cana,NA,NA
118,Eris_militaris,Arachnida,Araneae,Salticidae,Eris,militaris,Eris militaris,NA,Species,Eris militaris,NA,NA
119,Eristalis_stipator,Insecta,Diptera,Syrphidae,Eristalis,stipator,Eristalis stipator,NA,Species,Eristalis stipator,NA,NA
120,Erynnis_funeralis,Insecta,Lepidoptera,Hesperiidae,Erynnis,funeralis,Erynnis funeralis,NA,Species,Erynnis funeralis,NA,NA
121,Eucera_sp,Insecta,Hymenoptera,Apidae,Eucera,NA,Eucera,NA,Genus,Eucera sp.,NA,NA
122,Eumerus_funeralis,Insecta,Diptera,Syrphidae,Eumerus,funeralis,Eumerus funeralis,NA,Species,Eumerus funeralis,NA,NA
123,Eumerus_narcissa,Insecta,Diptera,Syrphidae,Eumerus,narcissa,Eumerus narcissa,NA,Species,Eumerus narcissa,NA,NA
124,Eupeodes_fumipennis,Insecta,Diptera,Syrphidae,Eupeodes,fumipennis,Eupeodes fumipennis,NA,Species,Eupeodes fumipennis,NA,NA
125,Eupeodes_fumipennis/pomus_group,Insecta,Diptera,Syrphidae,Eupeodes,NA,Eupeodes,NA,Genus,E. fumipennis/ pomus,Eumerus fumipennis/ pomus,Eumerus fumipennis/pomus
126,Eupeodes_luniger,Insecta,Diptera,Syrphidae,Eupeodes,luniger,Eupeodes luniger,NA,Species,Eupeodes luniger,NA,NA
127,Eupeodes_pomus,Insecta,Diptera,Syrphidae,Eupeodes,pomus,Eupeodes pomus,NA,Species,Eupeodes pomus,NA,NA
128,Eupeodes_volucris,Insecta,Diptera,Syrphidae,Eupeodes,volucris,Eupeodes volucris,NA,Species,Eupeodes volucris,NA,NA
129,Exechia_cincinnata,Insecta,Diptera,Mycetophilidae,Exechia,cincinnata,Exechia cincinnata,NA,Species,Exechia cincinnata,NA,NA
130,Exechia_sp,Insecta,Diptera,Mycetophilidae,Exechia,NA,Exechia,NA,Genus,Exechia sp.,NA,NA
131,Falconina_gracilis,Arachnida,Araneae,Corinnidae,Falconina,gracilis,Falconina gracilis,NA,Species,Falconina gracilis,NA,NA
132,Fazia_micrura,Insecta,Diptera,Syrphidae,Fazia,micrura,Fazia micrura,NA,Species,Fazia micrura,NA,NA
133,Gitona_americana,Insecta,Diptera,Drosophilidae,Gitona,americana,Gitona americana,NA,Species,Gitona americana,NA,NA
134,Gitona_bivisualis,Insecta,Diptera,Drosophilidae,Gitona,bivisualis,Gitona bivisualis,NA,Species,Gitona bivisualis,NA,NA
135,Gnaphosidae,Arachnida,Araneae,Gnaphosidae,NA,NA,NA,NA,Family,Gnaphosidae,NA,NA
136,"Grzegorzekia_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Grzegorzekia,sp1,Grzegorzekia sp1,NA,Morphospecies,Grzegorzekia BioSCAN sp. 1,NA,NA
137,Gymnophora_sp,Insecta,Diptera,Phoridae,Gymnophora,NA,Gymnophora,NA,Genus,Gymnophora,NA,NA
138,Habronattus_schlingeri,Arachnida,Araneae,Salticidae,Habronattus,schlingeri,Habronattus schlingeri,NA,Species,H. schlingeri,NA,NA
139,Habronattus_sp,Arachnida,Araneae,Salticidae,Habronattus,NA,Habronattus,NA,Genus,Habronattus sp.,NA,NA
140,"Hadroneura_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Hadroneura,sp1,Hadroneura sp1,NA,Morphospecies,Hadroneura BioSCAN sp. 1,NA,NA
141,"Hadroneura_""BioSCAN""_sp_2",Insecta,Diptera,Mycetophilidae,Hadroneura,sp2,Hadroneura sp2,NA,Morphospecies,Hadroneura BioSCAN sp. 2,NA,NA
142,Hadroneura_sp,Insecta,Diptera,Mycetophilidae,Hadroneura,NA,Hadroneura,NA,Genus,Hadroneura sp.,NA,NA
143,Hadroneura_spp,Insecta,Diptera,Mycetophilidae,Hadroneura,NA,Hadroneura,NA,Genus,Hadroneura spp.,NA,NA
144,Halictus_ligatus,Insecta,Hymenoptera,Halictidae,Halictus,ligatus,Halictus ligatus,NA,Species,Halictus ligatus,NA,NA
145,Halictus_tripartitus,Insecta,Hymenoptera,Halictidae,Halictus,tripartitus,Halictus tripartitus,NA,Species,Halictus tripartitus,NA,NA
146,Hamataliwa_sp,Arachnida,Araneae,Oxyopidae,Hamataliwa,NA,Hamataliwa,NA,Genus,Hamataliwa sp.,NA,NA
147,Heriades_sp,Insecta,Hymenoptera,Megachilidae,Heriades,NA,Heriades,NA,Genus,Heriades sp.,NA,NA
148,Heringia_sp,Insecta,Diptera,Syrphidae,Heringia,NA,Heringia,NA,Genus,Heringia sp.,NA,NA
149,Herpyllus_propinquus,Arachnida,Araneae,Gnaphosidae,Herpyllus,propinquus,Herpyllus propinquus,NA,Species,Herpyllus propinquus,NA,NA
150,Hibana_incursa,Arachnida,Araneae,Anyphaenidae,Hibana,incursa,Hibana incursa,NA,Species,Hibana incursa,NA,NA
151,Holocnemus_pluchei,Arachnida,Araneae,Pholcidae,Holocnemus,pluchei,Holocnemus pluchei,NA,Species,Holocnemus pluchei,NA,NA
152,Hololena_curta,Arachnida,Araneae,Agelenidae,Hololena,curta,Hololena curta,NA,Species,Hololena curta,NA,NA
153,Hoplitus_sp,Insecta,Hymenoptera,Megachilidae,Hoplitus,NA,Hoplitus,NA,Genus,Hoplitus,NA,NA
154,Hylaeus_sp,Insecta,Hymenoptera,Colletidae,Hylaeus,NA,Hylaeus,NA,Genus,Hylaeus sp.,NA,NA
155,Hylephila_phyleus,Insecta,Lepidoptera,Hesperiidae,Hylephila,phyleus,Hylephila phyleus,NA,Species,Hylephila phyleus,NA,NA
156,Hyles_lineata,Insecta,Lepidoptera,Sphingidae,Hyles,lineata,Hyles lineata,NA,Species,Hyles lineata,NA,NA
157,Lasioglossum_(Dialictus)_sp,Insecta,Hymenoptera,Halictidae,Lasioglossum,NA,Lasioglossum,NA,Genus,Lasioglossum (Dialictus) sp.,NA,NA
158,Lasioglossum_(Evylaeus)_kincaidii,Insecta,Hymenoptera,Halictidae,Lasioglossum,kincaidii,Lasioglossum kincaidii,NA,Species,Lasioglossum  (Evylaeus kincaidii),NA,NA
159,Lasioglossum_(Evylaeus)_sp,Insecta,Hymenoptera,Halictidae,Lasioglossum,NA,Lasioglossum,NA,Genus,Lasioglossum (Evylaeus) sp.,NA,NA
160,Lasioglossum_ovaliceps,Insecta,Hymenoptera,Halictidae,Lasioglossum,ovaliceps,Lasioglossum ovaliceps,NA,Species,Lasioglossum ovaliceps,NA,NA
161,Lasioglossum_sp,Insecta,Hymenoptera,Halictidae,Lasioglossum,NA,Lasioglossum,NA,Genus,Lasioglossum sp.,NA,NA
162,Latrodectus_geometricus,Arachnida,Araneae,Theridiidae,Latrodectus,geometricus,Latrodectus geometricus,NA,Species,Latrodectus geometricus,NA,NA
163,Latrodectus_hesperus,Arachnida,Araneae,Theridiidae,Latrodectus,hesperus,Latrodectus hesperus,NA,Species,Latrodectus hesperus,NA,NA
164,Leia_dryas,Insecta,Diptera,Mycetophilidae,Leia,dryas,Leia dryas,NA,Species,Leia dryas,NA,NA
165,Leia_varia,Insecta,Diptera,Mycetophilidae,Leia,varia,Leia varia,NA,Species,Leia varia,NA,NA
166,Leptotes_marina,Insecta,Lepidoptera,Lycaenidae,Leptotes,marina,Leptotes marina,NA,Species,Leptotes marina,NA,NA
167,Lerodea_eufala,Insecta,Lepidoptera,Hesperiidae,Lerodea,eufala,Lerodea eufala,NA,Species,Lerodea eufala,NA,NA
168,Limonia_(Dicanomyia)_brevivena,Insecta,Diptera,Limoniidae,Limonia,brevivena,Limonia brevivena,NA,Species,Limonia (Dicanomyia) brevivena,NA,NA
169,Limonia_(Dicranomyia)_brevivena,Insecta,Diptera,Limoniidae,Limonia,brevivena,Limonia brevivena,NA,Species,Limonia (Dicranomyia) brevivena,NA,NA
170,Limonia_(Geranomyia)_guatemalensis,Insecta,Diptera,Limoniidae,Limonia,guatemalensis,Limonia guatemalensis,NA,Species,Limonia (Geranomyia) guatemalensis,NA,NA
171,Limonia_domestica,Insecta,Diptera,Limoniidae,Limonia,domestica,Limonia domestica,NA,Species,Limonia domestica,NA,NA
172,Limonia_guatemalensis,Insecta,Diptera,Limoniidae,Limonia,guatemalensis,Limonia guatemalensis,NA,Species,Limonia guatemalensis,NA,NA
173,Limonia_humidicola,Insecta,Diptera,Limoniidae,Limonia,humidicola,Limonia humidicola,NA,Species,Limonia humidicola,NA,NA
174,Linyphiidae,Arachnida,Araneae,Linyphiidae,NA,NA,NA,NA,Family,Linyphiidae,NA,NA
175,Lycosidae,Arachnida,Araneae,Lycosidae,NA,NA,NA,NA,Family,Lycosidae,NA,NA
176,Manduca_sexta,Insecta,Lepidoptera,Sphingidae,Manduca,sexta,Manduca sexta,NA,Species,Manduca sexta,NA,NA
177,Mastophora_sp,Arachnida,Araneae,Araneidae,Mastophora,NA,Mastophora,NA,Genus,Mastophora sp.,NA,NA
178,Megachile_heriades,Insecta,Hymenoptera,Megachilidae,Megachile,heriades,Megachile heriades,NA,Species,Megachile heriades,NA,NA
179,Megachile_sp,Insecta,Hymenoptera,Megachilidae,Megachile,NA,Megachile,NA,Genus,Megachile sp.,NA,NA
180,Megalographa_biloba,Insecta,Lepidoptera,Noctuidae,Megalographa,biloba,Megalographa biloba,NA,Species,Megalographa biloba,NA,NA
181,Megaselia_?modesta,Insecta,Diptera,Phoridae,Megaselia,modesta,Megaselia modesta,NA,Species,M. modesta?,NA,NA
182,"Megaselia_""BB_unknown_1""_sp",Insecta,Diptera,Phoridae,Megaselia,sp1,Megaselia sp1,NA,Morphospecies,Megaselia BB unknown 1,NA,NA
183,"Megaselia_""BB_unknown_11""_sp",Insecta,Diptera,Phoridae,Megaselia,sp11,Megaselia sp11,NA,Morphospecies,Megaselia BB unknown 11,NA,NA
184,"Megaselia_""BB_unknown_5""_sp",Insecta,Diptera,Phoridae,Megaselia,sp5,Megaselia sp5,NA,Morphospecies,Megaselia BB unknown 5,NA,NA
185,"Megaselia_""BB_unknown_7""_sp",Insecta,Diptera,Phoridae,Megaselia,sp7,Megaselia sp7,NA,Morphospecies,Megaselia BB unknown 7,NA,NA
186,"Megaselia_""BB_unknown_8""_sp",Insecta,Diptera,Phoridae,Megaselia,sp8,Megaselia sp8,NA,Morphospecies,Megaselia BB unknown 8,NA,NA
187,"Megaselia_""Hairy_Lobe""_sp",Insecta,Diptera,Phoridae,Megaselia,spHL,Megaselia spHL,include species name?,Morphospecies,"Megaselia ""hairy lobe"" sp.",M. (hairy lobe),NA
